,stock_id,win_rate,total_profit
461,1457,42.857142857142854,60000.00000000008
462,1459,27.27272727272727,
463,1460,22.22222222222222,-109999.99999999996
464,1463,30.434782608695656,-129999.99999999994
465,1464,57.14285714285714,
466,1465,18.181818181818183,
467,1466,44.44444444444444,
468,1467,10.0,
469,1468,13.333333333333334,
470,1469,42.857142857142854,
471,1470,23.52941176470588,
472,1471,36.36363636363637,
473,1471,36.36363636363637,
474,1472,37.142857142857146,
475,1472,37.142857142857146,
476,1473,33.33333333333333,-9999.999999999902
477,1474,44.44444444444444,
478,1475,17.24137931034483,-470000.0000000007
479,1476,0.0,-150000.00000000006
480,1477,66.66666666666666,70000.0
481,1503,50.0,40000.000000000015
482,1504,100.0,50000.00000000005
483,1506,8.0,
484,1507,25.0,-40000.000000000095
485,1512,36.36363636363637,
486,1513,54.54545454545454,150000.00000000032
487,1514,42.857142857142854,29999.999999999953
488,1515,11.76470588235294,
489,1516,36.666666666666664,-19999.999999999964
490,1517,11.11111111111111,-190000.0000000004
491,1519,0.0,-89999.99999999996
492,1520,0.0,0.0
493,1521,33.33333333333333,-29999.9999999999
494,1522,0.0,-90000.00000000015
495,1522A,0.0,0.0
496,1523,66.66666666666666,70000.00000000012
497,1524,38.46153846153847,10000.000000000106
